language,neighbors,model,n,estimate,p.value,low,high
Korean,50,polyglot,166,0.28385542895765487,2.104641614414406e-4,0.14109011615050082,0.43584441259868806
Polish,50,polyglot,287,0.3598833715643659,3.343851522124563e-10,0.26528335455919955,0.46851135009997374
Portuguese,50,polyglot,276,0.343969774635418,4.3959112553370305e-9,0.23745219120124345,0.4542840811457797
Russian,50,polyglot,301,0.15208822786819642,0.008216386697840337,0.035068889523819424,0.26826886592580057
Spanish,50,polyglot,759,0.34048320841935686,4.69150656952621e-22,0.2729845163804766,0.41376022810272656
Swedish,50,polyglot,40,0.4559954963407769,0.003105228576608642,0.21523829027267427,0.7328841835548675
Thai,50,polyglot,102,-0.006990535067758959,0.9444072411896647,-0.1973604988512366,0.19595536559870866
Turkish,50,polyglot,226,0.3591332637295439,2.768701573049513e-8,0.22530870037086215,0.4889811371699422
Catalan,75,polyglot,311,0.34927033377084316,2.3692049516215235e-10,0.23612507147118428,0.46183555678792576
Chinese (Simplified),75,polyglot,288,0.3034146379500252,1.5125242580923155e-7,0.19897826042010913,0.4231570562301677
French,75,polyglot,767,0.35432930550252856,4.1732456157576994e-24,0.2903860757069969,0.42390434929599136
German,75,polyglot,275,0.3621675684713823,6.019646075869463e-10,0.2627141605138334,0.4747025256834072
Greek,75,polyglot,320,0.31683770417019863,6.808645357453379e-9,0.20337089934987135,0.4251494145779619
Italian,75,polyglot,326,0.3314281478520099,8.49586291143899e-10,0.2347247018988493,0.43481825686487446
Korean,75,polyglot,166,0.26762158818831644,4.906466957134777e-4,0.1255975328715404,0.41268403868349113
Polish,75,polyglot,287,0.3488058276145452,1.2381691423938342e-9,0.24810221924262715,0.45034269877786226
Portuguese,75,polyglot,276,0.3357239248509821,1.071571251316188e-8,0.22774113266995183,0.45024530493317627
Russian,75,polyglot,301,0.1514651012224359,0.00848613427947194,0.03536469519051938,0.26638743398141157
Spanish,75,polyglot,759,0.34134294990848985,3.640911600630962e-22,0.274306588956436,0.41162246427078336
Swedish,75,polyglot,40,0.40514167761306064,0.009504641869900238,0.17679259803129432,0.7004117104124724
Thai,75,polyglot,102,0.015129191995352115,0.8800366045060057,-0.18682693741969475,0.2221871922282186
Turkish,75,polyglot,226,0.34902589765643255,7.111845362210847e-8,0.2263045328452996,0.4723695374778115
Catalan,100,polyglot,311,0.36556160502470386,2.8826300033117277e-11,0.26106008820037685,0.46547321639340694
Chinese (Simplified),100,polyglot,288,0.29684767389351435,2.8682833924469886e-7,0.18868567318779134,0.4097126851828764
French,100,polyglot,767,0.3503223651639955,1.4481842714985695e-23,0.284114730737988,0.424883559534034
German,100,polyglot,275,0.35961499982475564,8.092150509494794e-10,0.25853438482038565,0.478292357255938
Greek,100,polyglot,320,0.3133197206493416,1.0176425942969531e-8,0.21474392570348938,0.4202386782896082
Italian,100,polyglot,326,0.3283910278231993,1.2337109708165102e-9,0.235096334577568,0.43923048641916074
Korean,100,polyglot,166,0.26462144323159104,5.704871706431341e-4,0.124449626314446,0.4158431410177398
Polish,100,polyglot,287,0.34640574385527695,1.63334850624496e-9,0.2476435014280654,0.4504754523892651
Portuguese,100,polyglot,276,0.3296867287709643,2.024041418648331e-8,0.21238591891067932,0.45521302302945
Russian,100,polyglot,301,0.14951651027086263,0.009381217846610865,0.03403376225503668,0.26705651079928083
Spanish,100,polyglot,759,0.33891397299207926,7.436831365167788e-22,0.2724922469426455,0.4068706409045291
Swedish,100,polyglot,40,0.3773691124038281,0.016371985085996018,0.15128583392730854,0.6577226412265796
Thai,100,polyglot,102,0.01112490491770378,0.9116363972137697,-0.19702718219602722,0.21503085434284275
Turkish,100,polyglot,226,0.3430656497962034,1.2215930052534974e-7,0.2173690634323222,0.4753868844227608
